epoch,nutritional_metabolic,physiological,behavioral,demographic_fairness,functional_disability
1,0.18116241693496704,0.24269691109657288,0.18596695363521576,0.2062668651342392,0.18390674889087677
2,0.1620897650718689,0.3258471190929413,0.16303040087223053,0.17984896898269653,0.16918371617794037
3,0.14256995916366577,0.4090731739997864,0.14176148176193237,0.1565667986869812,0.1500287652015686
4,0.12951093912124634,0.46483030915260315,0.12767361104488373,0.1419122815132141,0.1360730528831482
5,0.12018674612045288,0.503572404384613,0.11824368685483932,0.13161875307559967,0.12637853622436523
6,0.11271097511053085,0.5344645977020264,0.11112191528081894,0.12357981503009796,0.1181226372718811
7,0.10713696479797363,0.5581791400909424,0.10526958107948303,0.11782582104206085,0.1115882620215416
8,0.10245559364557266,0.5799655318260193,0.09967334568500519,0.11300260573625565,0.1049029752612114
9,0.09831054508686066,0.6009406447410583,0.09417040646076202,0.10847511887550354,0.09810344874858856
10,0.09473118931055069,0.6193055510520935,0.08951544016599655,0.10442337393760681,0.09202442318201065
11,0.09138455241918564,0.6377564072608948,0.08510803431272507,0.10011854767799377,0.0856323167681694
12,0.08873023837804794,0.6536350846290588,0.08129057288169861,0.09703470021486282,0.07930945605039597
13,0.08620068430900574,0.6696979999542236,0.07765471190214157,0.09332571178674698,0.0731208398938179
14,0.08383414149284363,0.684851884841919,0.07401227951049805,0.09017371386289597,0.06712782382965088
15,0.08174887299537659,0.7007178664207458,0.0697251632809639,0.08679452538490295,0.06101358309388161
